Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
20,20040812,20240422,432,48.9219,9.9129,gmünd-Untergröningen,Baden-Württemberg
44,20070208,20240422,44,52.9336,8.237,enkneten,Niedersachsen
53,20050831,20240422,60,52.585,13.5634,nsfelde,Brandenburg
73,20070213,20240422,374,48.6183,13.062,rsbach-Kramersepp,Bayern
78,20041010,20240422,64,52.4853,7.9125,ausen,Niedersachsen
87,20041019,20240422,158,51.095,11.0479,rstedt,Thüringen
91,20020819,20240422,304,50.7446,9.345,eld-Eifa,Hessen
96,20190409,20240422,50,52.9437,12.8518,uppin-Alt Ruppin,Brandenburg
103,20021219,20240422,364,48.896,12.217,lstadt,Bayern
118,20030226,20240422,388,49.4053,12.2852,ndorf,Bayern
124,20060820,20240422,265,51.2388,11.577,"a, Bad-Altenroda",Sachsen-Anhalt
130,20040914,20240422,301,49.7284,9.7692,rtheim-Oberaltertheim,Bayern
131,20040907,20240422,296,51.0881,12.9326,ngswalde-Altgeringswalde,Sachsen
142,20051025,20240422,511,48.406,11.3117,münster-Maisbrunn,Bayern
150,20040905,20240415,215,49.7273,8.1164,y,Rheinland-Pfalz
151,20041123,20240422,382,49.4691,11.8546,rg-Unterammersricht,Bayern
154,20050112,20240422,516,48.0197,12.2925,ang-Pfaffing,Bayern
158,20020528,20240422,210,50.784,8.9545,eburg-Rüdigheim,Hessen
161,20110830,20240422,75,50.4237,7.4202,rnach,Rheinland-Pfalz
164,19911031,20240422,54,53.0316,13.9908,rmünde,Brandenburg
167,20040531,20240422,11,53.8409,13.6854,am,Mecklenburg-Vorpommern
183,19911101,20240422,42,54.6791,13.4344,na,Mecklenburg-Vorpommern
191,20041103,20240422,217,49.9694,9.9114,tein-Müdesheim,Bayern
194,20041017,20240422,265,51.3431,9.0763,"sen-Landau, Bad",Hessen
198,19911107,20240422,164,51.3744,11.292,rn,Thüringen
200,20020924,20240422,517,50.085,6.3161,erath-Scheidchen,Rheinland-Pfalz
205,20021113,20240422,681,47.7275,12.2982,au-Stein,Bayern
211,20040901,20240422,200,50.58,8.4685,r Klein-Altenstädten,Hessen
213,20070321,20240422,170,51.9375,10.9897,stedt,Sachsen-Anhalt
216,20040817,20240422,298,51.1143,7.8807,ndorn-Neulisternohl,Nordrhein-Westfalen
217,20041116,20240422,670,47.8774,11.3643,nkam,Bayern
222,19911101,20240422,393,50.5908,12.7139,,Sachsen
227,20021009,20240422,432,49.8823,11.2656,eß-Hochstahl,Bayern
232,19961107,20240422,462,48.4253,10.9417,burg,Bayern
240,20020909,20240422,293,50.1805,9.5743,im Sinngrund,Bayern
257,20020908,20240422,240,48.727,8.2457,n-Baden-Geroldsau,Baden-Württemberg
259,20030324,20240422,275,47.8064,7.6387,heim,Baden-Württemberg
269,20060522,20240422,599,48.5116,8.3176,rsbronn-Mitteltal,Baden-Württemberg
275,20030506,20240422,1039,47.465,10.1043,erschwang,Bayern
279,20060818,20240422,457,48.7574,9.4514,mannsweiler-Hohengehren,Baden-Württemberg
282,19950531,20240422,240,49.8743,10.9206,erg,Bayern
287,20080416,20240422,53,51.961,11.9159,ernienburg-Ronney,Sachsen-Anhalt
292,20051114,20240422,37,52.6965,8.487,storf,Niedersachsen
294,20040422,20240422,110,52.3199,9.43,inghausen-Hohenbostel,Niedersachsen
298,19911031,20240422,3,54.3405,12.7108,h,Mecklenburg-Vorpommern
301,20060101,20240422,659,48.7584,9.9855,holomä,Baden-Württemberg
303,19930901,20240422,55,52.0613,13.4997,th,Brandenburg
310,20020704,20240422,590,51.0662,8.5375,enberg-Hof Karlsburg,Hessen
312,20070326,20240422,51,53.8149,11.8818,garten,Mecklenburg-Vorpommern
314,20030713,20240422,234,51.1604,14.5042,"chütz, Kr. Bautzen",Sachsen
316,20021007,20240422,310,49.6957,7.8387,rfeld-Steckweiler -Schmalfelderhof,Rheinland-Pfalz
320,20060510,20240422,350,49.9666,11.5198,ersreuth-Vollhof,Bayern
330,20040608,20240422,455,49.5617,8.9673,zent-Beerfelden,Hessen
336,20021106,20240422,290,51.0221,10.5148,elberg-Hainich-Behringen,Thüringen
342,20101130,20240422,103,52.317,8.1694,,Niedersachsen
357,20050719,20240422,50,52.3018,7.1301,"heim, Bad",Niedersachsen
359,20021219,20240422,464,49.1022,11.796,tzhausen,Bayern
360,20021112,20240422,403,49.1116,11.4329,hing,Bayern
377,20030313,20240422,210,49.107,7.9967,"zabern, Bad",Rheinland-Pfalz
378,20050313,20240422,134,51.6842,10.1078,a,Niedersachsen
379,20170807,20240422,304,50.9075,11.2665,"a, Bad (Flugplatz)",Thüringen
389,20090930,20240422,436,51.0148,8.4318,"eburg, Bad-Arfeld",Nordrhein-Westfalen
390,20030122,20240422,610,50.9837,8.3683,"eburg, Bad-Stünzel",Nordrhein-Westfalen
399,19911031,20110730,36,52.5198,13.4057,in-Alexanderplatz,Berlin
400,20030609,20240422,60,52.631,13.5021,in-Buch,Berlin
427,19911031,20240422,46,52.3807,13.5306,in Brandenburg,Brandenburg
433,19950101,20240422,48,52.4676,13.402,in-Tempelhof,Berlin
445,20030527,20240422,85,51.8218,11.711,burg/Saale (Nord),Sachsen-Anhalt
460,19930930,20240422,362,49.2641,6.6868,s,Saarland
479,20040929,20240422,138,50.2435,9.2892,tersbach,Hessen
498,20060720,20240422,763,47.7452,8.3111,ngen-Birkendorf,Baden-Württemberg
504,20070513,20240422,79,51.7982,13.9716,enau/Spreewald-Bischdorf,Brandenburg
535,20030423,20240422,417,50.0372,7.3079,kenrath,Rheinland-Pfalz
542,20041006,20240422,12,53.2401,10.8522,kede-Walmsburg,Niedersachsen
550,20020514,20240422,344,50.9041,11.7985,ck,Thüringen
551,20060921,20240422,519,50.3887,11.9955,chlitz-Heinersgrün,Sachsen
554,19940525,20240422,23,51.8293,6.5365,olt-Liedern (Wasserwerk),Nordrhein-Westfalen
555,20071105,20240422,110,51.5026,7.2289,um,Nordrhein-Westfalen
561,20050831,20240422,11,53.367,7.9679,horn-Grabstede,Niedersachsen
567,20090722,20240422,260,51.6957,9.5135,nfelde-Amelith,Niedersachsen
583,20071023,20080616,585,49.7067,7.0973,ink-Thranenweier,Rheinland-Pfalz
589,20020903,20240422,343,48.8846,12.7453,n-Pfelling,Bayern
591,19911031,20240422,45,53.3911,10.6878,enburg,Mecklenburg-Vorpommern
596,19911106,20240422,15,54.0027,11.1908,enhagen,Mecklenburg-Vorpommern
603,20071024,20240422,147,50.7293,7.204,gswinter-Heiderhof,Nordrhein-Westfalen
604,20060101,20240421,875,47.8194,8.3348,dorf/Schwarzwald,Baden-Württemberg
613,20040819,20240422,206,51.5677,9.2324,entreich,Nordrhein-Westfalen
617,20030122,20240422,47,51.873,6.8863,en in Westfalen,Nordrhein-Westfalen
622,20060425,20240422,66,52.3745,11.4655,heide-Born,Sachsen-Anhalt
630,20060420,20240422,87,52.0193,11.4059,leben-Börde / Klein Germersleben,Sachsen-Anhalt
633,20021127,20240422,126,51.4041,14.5681,erg,Sachsen
644,20041203,20240422,150,51.7049,9.1738,el,Nordrhein-Westfalen
653,20021113,20240422,483,47.7241,12.1092,nenburg-Degerndorf,Bayern
656,19910808,20240422,607,51.7234,10.6021,nlage,Niedersachsen
662,19970701,20240422,81,52.2915,10.4464,nschweig,Niedersachsen
684,20050608,20240422,1000,47.9385,8.0761,tnau,Baden-Württemberg
691,19910619,20240422,4,53.0451,8.7981,en,Bremen
701,19971119,20240422,7,53.5332,8.5761,erhaven,Bremen
704,20020716,20240422,11,53.4451,9.139,ervörde,Niedersachsen
714,20050502,20240422,46,52.3653,14.2474,Madlitz,Brandenburg
721,20021120,20240422,101,51.5171,12.4362,nwölkau-Brinnis,Sachsen
722,19971015,20210930,1135,51.7986,10.6183,ken,Sachsen-Anhalt
723,20020717,20240422,290,50.1841,7.24,,Rheinland-Pfalz
731,20071106,20240422,130,49.1127,8.6372,hsal-Heidelsheim,Baden-Württemberg
735,20050306,20240422,53,52.1692,12.7333,k-Gömnigk,Brandenburg
753,20021025,20240422,305,50.87,11.5022,a,Thüringen
